name:dk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:doi,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:dv,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:dyu,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:dz,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ee,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:el,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:emk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:en,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:es,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:et,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:eu,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:fa,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:fan,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ff,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:fi,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:fil,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:fj,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:fo,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:fon,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:fr,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ga,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:gd,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:gil,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:gl,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:grt,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:gu,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:gug,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:gv,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:gyn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ha,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:heb,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:hi,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:hif,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:hil,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ho,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:hr,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ht,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:hu,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:hy,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:id,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ilo,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:is,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:it,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:iu,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ja,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:jam,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:jv,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ka,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:kea,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:kha,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:kk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:kl,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:km,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:kn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ko,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:kok,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:kri,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ks,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ky,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:lb,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ln,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:lo,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:lt,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:lua,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:lus,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:lv,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mad,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mai,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mfe,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mg,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mh,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:min,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mkw,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ml,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mni,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mnk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mos,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mr,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ms,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:mt,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:my,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:myn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:na,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:nb,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:nd,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ne,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:niu,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:nl,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:nn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:no,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:nso,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ny,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:oc,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:om,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:or,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:pa,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:pap,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:pau,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:pih,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:pl,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:pon,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:pov,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ps,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:pt,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:qu,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:rar,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:rm,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:rn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ro,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ru,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:rw,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sg,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:si,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sid,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sl,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sm,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:snk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:so,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sq,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sr,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ss,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:st,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:su,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sus,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sv,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:sw,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:swb,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ta,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:te,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:tet,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:tg,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:th,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ti,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:tk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:tkl,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:tn,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:to,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:tpi,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:tr,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:trp,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ts,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:tvl,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ug,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:uk,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:ur,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:uz,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:vi,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:wal,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:wlc,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:wni,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:wo,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:xh,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:za,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:zdj,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:zh,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
name:zu,,n,Bus Stop Name,fill,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
tram,yes,n,Bus Stop Name,wording,https://wiki.openstreetmap.org/w/images/7/72/StreetComplete_quest_bus_stop_shelter.svg,,,,
public_transport,platform,n,Tactile Paving Bus Stop,query,https://wiki.openstreetmap.org/w/images/5/54/StreetComplete_quest_tactilepavingbus.svg,,,,
highway,bus_stop,n,Tactile Paving Bus Stop,query,https://wiki.openstreetmap.org/w/images/5/54/StreetComplete_quest_tactilepavingbus.svg,,,,
public_transport,stop_position,n,Tactile Paving Bus Stop,query (exclusion),https://wiki.openstreetmap.org/w/images/5/54/StreetComplete_quest_tactilepavingbus.svg,,,,
tactile_paving,,n,Tactile Paving Bus Stop,query (exclusion),https://wiki.openstreetmap.org/w/images/5/54/StreetComplete_quest_tactilepavingbus.svg,,,,
name,,n,Tactile Paving Bus Stop,wording,https://wiki.openstreetmap.org/w/images/5/54/StreetComplete_quest_tactilepavingbus.svg,,,,
tactile_paving,yes,n,Tactile Paving Bus Stop,fill,https://wiki.openstreetmap.org/w/images/5/54/StreetComplete_quest_tactilepavingbus.svg,,,,
tactile_paving,no,n,Tactile Paving Bus Stop,fill,https://wiki.openstreetmap.org/w/images/5/54/StreetComplete_quest_tactilepavingbus.svg,,,,
highway,crossing,n,Tactile Paving Crosswalk,query,https://wiki.openstreetmap.org/w/images/9/95/StreetComplete_quest_tactile_paving_crossing.svg,,,,
tactile_paving,,n,Tactile Paving Crosswalk,query (exclusion),https://wiki.openstreetmap.org/w/images/9/95/StreetComplete_quest_tactile_paving_crossing.svg,,,,
tactile_paving,yes,n,Tactile Paving Crosswalk,fill,https://wiki.openstreetmap.org/w/images/9/95/StreetComplete_quest_tactile_paving_crossing.svg,,,,
tactile_paving,no,n,Tactile Paving Crosswalk,fill,https://wiki.openstreetmap.org/w/images/9/95/StreetComplete_quest_tactile_paving_crossing.svg,,,,
highway,crossing,n,Crossing Type,query,https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_crossing.svg,,,,
crossing,,n,Crossing Type,query (exclusion),https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_crossing.svg,,,,
crossing,traffic_signals,n,Crossing Type,fill,https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_crossing.svg,,,,
crossing,uncontrolled,n,Crossing Type,fill,https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_crossing.svg,,,,
crossing,unmarked,n,Crossing Type,fill,https://wiki.openstreetmap.org/w/images/5/58/StreetComplete_quest_crossing.svg,,,,
emergency,fire_hydrant,n,Fire Hydrant Type,query,https://wiki.openstreetmap.org/w/images/b/b0/StreetComplete_quest_firehydrant.svg,,,,
fire_hydrant:type,,n,Fire Hydrant Type,query (exclusion),https://wiki.openstreetmap.org/w/images/b/b0/StreetComplete_quest_firehydrant.svg,,,,
fire_hydrant:type,pillar,n,Fire Hydrant Type,fill,https://wiki.openstreetmap.org/w/images/b/b0/StreetComplete_quest_firehydrant.svg,,,,
fire_hydrant:type,underground,n,Fire Hydrant Type,fill,https://wiki.openstreetmap.org/w/images/b/b0/StreetComplete_quest_firehydrant.svg,,,,
fire_hydrant:type,wall,n,Fire Hydrant Type,fill,https://wiki.openstreetmap.org/w/images/b/b0/StreetComplete_quest_firehydrant.svg,,,,
fire_hydrant:type,pond,n,Fire Hydrant Type,fill,https://wiki.openstreetmap.org/w/images/b/b0/StreetComplete_quest_firehydrant.svg,,,,
building,house,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,residential,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,apartments,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,detached,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,terrace,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,dormitory,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,semi,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,semidetached_house,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,farm,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,school,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,civic,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,college,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,university,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,public,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,hospital,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,kindergarten,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
building,train_station,ar,House Number,query,https://wiki.openstreetmap.org/w/images/5/55/StreetComplete_quest_housenumber.svg,,,,
